IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
104.20.190.223,443,true,AMS,Europe,Amsterdam,167 мс
104.20.193.235,443,true,AMS,Europe,Amsterdam,167 мс
104.20.190.220,443,true,AMS,Europe,Amsterdam,168 мс
104.20.193.226,443,true,AMS,Europe,Amsterdam,169 мс
104.20.190.217,443,true,AMS,Europe,Amsterdam,169 мс
104.20.190.222,443,true,AMS,Europe,Amsterdam,169 мс
104.20.193.243,443,true,AMS,Europe,Amsterdam,169 мс
104.20.190.225,443,true,AMS,Europe,Amsterdam,169 мс
104.20.190.229,443,true,AMS,Europe,Amsterdam,171 мс
104.20.190.247,443,true,AMS,Europe,Amsterdam,173 мс
104.20.190.238,443,true,AMS,Europe,Amsterdam,174 мс
104.20.197.207,443,true,AMS,Europe,Amsterdam,220 мс
104.20.194.231,443,true,AMS,Europe,Amsterdam,220 мс
104.20.197.216,443,true,AMS,Europe,Amsterdam,221 мс
104.20.194.221,443,true,AMS,Europe,Amsterdam,222 мс
104.20.194.206,443,true,AMS,Europe,Amsterdam,225 мс
104.20.197.225,443,true,AMS,Europe,Amsterdam,225 мс
104.20.194.207,443,true,AMS,Europe,Amsterdam,225 мс
104.20.194.250,443,true,AMS,Europe,Amsterdam,228 мс
104.20.195.5,443,true,AMS,Europe,Amsterdam,229 мс
104.20.195.65,443,true,AMS,Europe,Amsterdam,234 мс
104.21.55.111,443,true,HKG,Asia Pacific,Hong Kong,457 мс
104.21.52.16,443,true,HKG,Asia Pacific,Hong Kong,458 мс
104.21.52.21,443,true,HKG,Asia Pacific,Hong Kong,1844 мс
104.21.55.69,443,true,HKG,Asia Pacific,Hong Kong,2250 мс
104.21.55.70,443,true,HKG,Asia Pacific,Hong Kong,2251 мс
104.21.55.71,443,true,HKG,Asia Pacific,Hong Kong,2252 мс
104.21.192.168,443,true,ORD,North America,Chicago,243 мс
104.21.192.178,443,true,YYZ,North America,Toronto,240 мс
104.21.192.170,443,true,ORD,North America,Chicago,241 мс
104.21.192.169,443,true,ATL,North America,Atlanta,253 мс
104.21.196.151,443,true,CDG,Europe,Paris,164 мс
104.21.196.146,443,true,CDG,Europe,Paris,164 мс
104.21.196.145,443,true,EWR,North America,Newark,232 мс
104.21.200.123,443,true,VIE,Europe,Vienna,167 мс
104.21.200.122,443,true,WAW,Europe,Warsaw,169 мс
104.21.200.124,443,true,EWR,North America,Newark,229 мс
104.21.200.125,443,true,YYZ,North America,Toronto,235 мс
104.21.200.126,443,true,YYZ,North America,Toronto,239 мс
104.21.200.121,443,true,YYZ,North America,Toronto,240 мс
104.21.208.72,443,true,AMS,Europe,Amsterdam,159 мс
104.21.207.105,443,true,WAW,Europe,Warsaw,166 мс
104.21.207.102,443,true,WAW,Europe,Warsaw,166 мс
104.21.207.106,443,true,WAW,Europe,Warsaw,170 мс
104.21.207.104,443,true,YUL,North America,Montréal,240 мс
104.21.207.103,443,true,DFW,North America,Dallas,267 мс
104.21.208.76,443,true,AMS,Europe,Amsterdam,161 мс
104.21.208.77,443,true,CDG,Europe,Paris,163 мс
104.21.208.86,443,true,LHR,Europe,London,163 мс
104.21.208.75,443,true,YUL,North America,Montréal,235 мс
104.21.208.73,443,true,YUL,North America,Montréal,238 мс
104.21.208.74,443,true,ATL,North America,Atlanta,249 мс
104.21.212.50,443,true,WAW,Europe,Warsaw,167 мс
104.21.212.59,443,true,WAW,Europe,Warsaw,167 мс
104.21.212.52,443,true,WAW,Europe,Warsaw,168 мс
104.21.212.53,443,true,EWR,North America,Newark,236 мс
104.21.212.54,443,true,YYZ,North America,Toronto,236 мс
104.21.212.49,443,true,YYZ,North America,Toronto,239 мс
104.21.212.51,443,true,ATL,North America,Atlanta,250 мс
104.21.219.43,443,true,AMS,Europe,Amsterdam,166 мс
104.21.219.40,443,true,WAW,Europe,Warsaw,170 мс
104.21.219.44,443,true,WAW,Europe,Warsaw,171 мс
104.21.223.33,443,true,DME,Europe,Moscow,247 мс
104.21.231.54,443,true,WAW,Europe,Warsaw,326 мс
104.23.110.5,443,true,AMS,Europe,Amsterdam,164 мс
104.23.110.103,443,true,AMS,Europe,Amsterdam,169 мс
104.23.114.97,443,true,AMS,Europe,Amsterdam,167 мс
104.23.118.51,443,true,AMS,Europe,Amsterdam,169 мс
104.23.122.66,443,true,AMS,Europe,Amsterdam,163 мс
104.23.126.4,443,true,AMS,Europe,Amsterdam,163 мс
104.23.129.225,443,true,AMS,Europe,Amsterdam,165 мс
104.23.133.202,443,true,AMS,Europe,Amsterdam,198 мс
104.23.137.181,443,true,AMS,Europe,Amsterdam,164 мс
