IP-адрес,Порт,TLS,Дата-центр,Регион,Город,Задержка
5.10.246.149,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.247.61,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.246.137,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.247.170,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.245.110,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.245.207,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.246.138,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.246.171,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.245.71,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.245.128,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.245.120,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.247.55,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.247.64,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.245.98,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.247.65,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.246.168,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.247.66,443,true,HKG,Asia Pacific,Hong Kong,117 мс
5.10.245.70,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.245.209,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.246.164,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.245.129,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.246.219,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.247.206,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.245.208,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.245.53,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.246.1,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.245.6,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.246.172,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.246.167,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.246.161,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.244.154,443,true,HKG,Asia Pacific,Hong Kong,118 мс
5.10.244.238,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.245.0,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.247.180,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.244.237,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.246.5,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.245.12,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.246.165,443,true,HKG,Asia Pacific,Hong Kong,119 мс
5.10.245.176,443,true,HKG,Asia Pacific,Hong Kong,119 мс
